NDI Frame Rate and Bitrate Report
15:32:14: 30.0 fps, Codec: UYVY, Bitrate: 3431511.24 Mbps
15:32:24: 30.0 fps, Codec: UYVY, Bitrate: 4042040.43 Mbps
15:32:34: 30.0 fps, Codec: UYVY, Bitrate: 7299416.64 Mbps
15:32:44: 30.0 fps, Codec: UYVY, Bitrate: 3725177.5 Mbps
15:32:54: 30.0 fps, Codec: UYVY, Bitrate: 4968167.92 Mbps
15:33:04: 30.0 fps, Codec: UYVY, Bitrate: 5433175.7 Mbps
15:33:15: 30.0 fps, Codec: UYVY, Bitrate: 3653719.16 Mbps
15:33:25: 30.0 fps, Codec: UYVY, Bitrate: 6285693.17 Mbps
15:33:35: 30.0 fps, Codec: UYVY, Bitrate: 3334364.82 Mbps
